ID,상임위,소관,세부사업,내역사업,지역성사업,예산,A,B,C
BG346,환경노동위원회,환경부,국토생태네트워크구축,단양호 생태탐방로,1,100,0,0,0
BG347,국토교통위원회,국토교통부,일반국도건설지원,인계-쌍치 사전기본 조사비,1,100,0,1,1
BG348,국토교통위원회,국토교통부,일반국도건설지원,이원-대산 사전기본조사,1,100,0,0,1
BG349,국토교통위원회,국토교통부,도로병목지점 개선,국도 27호선 봉계 교차로 개선사업,1,100,0,0,1
BG350,국토교통위원회,국토교통부,도로병목지점 개선,국도 37호선 경기 가평 설악IC 교차로,1,100,0,0,1
BG351,국토교통위원회,국토교통부,도로병목지점 개선,국도7호선 유강 IC 진출입 램프,1,100,1,0,1
BG352,국토교통위원회,국토교통부,도로병목지점 개선,국도 45호선 충무교 단구간 확장,1,100,0,0,1
BG353,국토교통위원회,국토교통부,도로병목지점 개선,국도 22호선 전남 영광군 신천지구 교차로 6개소 개설,1,100,0,0,1
BG354,국토교통위원회,국토교통부,도로병목지점 개선,국도 30호선 전북 임실군 이도지구 단구간 확장,1,100,0,0,1
BG355,국토교통위원회,국토교통부,도로병목지점 개선,국도13호선 담양 오계 지구 교차로 개선사업,1,100,0,0,1
BG356,국토교통위원회,국토교통부,도로병목지점 개선,국대도 2-25호선 양곡 IC 교차로,1,100,0,0,1
BG357,국토교통위원회,국토교통부,국가지원지방도건설지원,두야-신진도,1,100,0,0,1
BG358,국토교통위원회,국토교통부,국가지원지방도건설지원,고양-광탄,1,100,0,0,1
BG359,문화체육관광위원회,문화체육관광부,전통종교문화유산보존,인천 강화 청련사 개보수,1,96,0,0,1
BG360,정무위원회,사회적참사 특별조사위원회,청문회 개최 지원 및 자료 검증,0,0,89,0,1,0
BG361,교육위원회,교육부,국립대병원 지원,전남대병원 차세대 통합 병원정보시스템 구축,1,88,0,0,0
BG362,정무위원회,사회적참사 특별조사위원회,대국민 소통 강화,0,0,87,0,1,0
BG363,교육위원회,교육부,재외동포교육 운영지원,프놈펜 한국학교 교장 파견,0,85,0,0,0
BG364,정무위원회,국가보훈처,현충시설건립,최재형선생기념비 건립,0,80,0,0,0
BG365,산업통상자원중소벤처기업위원회,산업통상자원부,바이오나노산업개방형 생태계조성촉진사업,충북 의료?바이오 첨단 기술 산업화 지원센터,1,80,0,0,0
BG366,국방위원회,병무청,병무행정안내,병역의무 홍보 및 교육,0,60,0,0,0
BG367,정무위원회,공정거래위원회,유통정책관 비총액인건비성 기본경비,일반수용비 등 기본경비 신규 증액분,0,55,0,0,0
BG368,행정안전위원회,행정안전부,위험도로구조개선,순창군 구룡위험도로,1,50,0,0,1
BG369,행정안전위원회,행정안전부,위험도로구조개선,고창군 수동지구 위험도로,1,50,0,0,1
BG370,환경노동위원회,환경부,수소연료전지차 보급사업,수소충전소 업무대행,0,50,0,0,0
BG371,문화체육관광위원회,문화체육관광부,전통종교문화유산보존,서울 종로 금선사 개보수,1,40,0,0,1
BG372,정무위원회,공정거래위원회,유통정책관 비총액인건비성 기본경비,기업거래정책국비총액 인건비성 기본경비 이관액,0,17,0,0,0
BG373,외교통일위원회,외교부,동북아지역국가와의 교류협력강화,한일기자단 교류,0,17,0,0,0
BG374,정무위원회,공정거래위원회,유통정책관 총액인건비성기본경비,특근매식비 등 기본경비 신규 증액분,0,16,0,0,0
BG375,정무위원회,공정거래위원회,유통정책관 총액인건비성기본경비,기업거래정책국 총액 인건비성 기본경비 이관액,0,12,0,0,0
BG376,정무위원회,공정거래위원회,건전한 유통거래 질서확립,해외 상생협력 사례조사,0,10,0,0,0
BG377,농림축산식품부,농림축산식품해양수산위원회,비축지원,정부비축기지매각대금 융자지원,0,74331,0,0,0
